score<Pub. year>	score<Application year>	score<Earliest priority year>	score<Cited by patents>	score<Cites patents>	score<Simple family size>	score<Extended family size>	score<NPL citations>
2023	2023	2020	0	2	6	6	0
2024	2021	2018	0	30	8	8	9
2019	2018	2017	0	5	2	2	0
2018	2018	2017	0	6	5	5	0
2021	2020	2019	3	0	2	2	0
2025	2025	2025	0	8	2	2	1
2024	2021	2020	0	3	2	2	2
2020	2018	2017	16	11	15	15	7
2023	2021	2006	0	5	38	77	0
2021	2014	2014	4	16	4	4	4
2023	2021	2006	0	5	38	77	0
2017	2016	2015	13	6	1	5	0
2025	2021	2020	0	74	11	14	45
2021	2021	2006	0	5	38	77	0
2021	2021	2006	1	5	38	77	0
2018	2011	2010	0	3	5	15	3
2017	2015	2014	6	16	11	241	16
2022	2020	2019	0	3	2	2	4
2020	2019	2018	2	5	2	2	0
2025	2022	2021	0	19	2	2	5
2021	2019	2019	3	0	2	2	0
2020	2017	2016	2	9	5	5	0
2024	2020	2020	2	2	4	4	1
2018	2016	2013	2	0	2	5	72
2021	2015	2014	0	14	13	13	2
2019	2017	2017	21	22	2	2	0
2017	2012	2012	0	0	7	7	1
2024	2023	2020	9	327	16	124	196
2019	2017	2016	5	0	5	5	0
2025	2023	2022	0	1	4	4	1
2021	2021	2014	0	10	4	4	0
2017	2014	2014	5	0	4	4	0
2024	2023	2022	0	3	2	2	0
2022	2021	2020	0	3	2	2	0
2016	2005	2001	29	53	1	208	41
2025	2023	2022	0	6	4	4	2
2024	2023	2022	0	2	4	4	0
2022	2021	2017	3	0	12	14	0
2021	2021	2017	1	0	12	14	0
2020	2020	2017	1	0	12	14	0
2019	2017	2016	22	23	2	2	8
2018	2018	2017	0	5	12	14	1
2025	2023	2023	0	12	2	2	15
2025	2024	2020	2	379	10	124	192
2018	2018	2017	14	21	12	14	0
2025	2025	2024	0	0	5	5	0
2018	2018	2017	0	6	4	4	1
2016	2013	2012	0	2	11	11	2
2021	2019	2017	0	17	7	7	6
2022	2019	2019	0	1	2	2	19
2018	2017	2016	2	6	7	7	1
2021	2020	2017	1	0	12	14	0
2025	2025	2022	0	0	25	35	0
2025	2025	2024	0	0	1	1	0
2021	2021	2017	1	0	12	14	0
2020	2017	2016	4	0	7	7	0
2023	2017	2016	0	7	7	7	3
2019	2013	2012	0	0	7	7	3
2019	2019	2017	8	0	7	7	0
2021	2019	2018	1	9	2	2	26
2022	2021	2020	3	5	8	8	10
2019	2019	2018	11	4	3	3	0
2025	2024	2019	1	5	4	4	0
2021	2016	2016	4	12	5	5	18
2024	2021	2020	0	1	8	8	3
2016	2016	2015	10	3	15	15	3
2025	2024	2017	0	0	5	5	0
2024	2023	2023	0	1	5	5	10
2024	2020	2019	3	11	8	8	66
2025	2021	2021	0	5	8	8	0
2018	2017	2016	51	0	2	2	0
2019	2018	2017	15	4	5	5	0
2025	2024	2023	0	19	7	43	3
2018	2016	2015	27	4	15	15	0
2025	2022	2020	1	128	3	124	28
2024	2023	2022	0	3	4	4	0
2020	2019	2018	71	0	2	2	0
2016	2011	2011	3	33	11	11	3
2024	2023	2022	0	0	4	4	0
2022	2020	2019	8	8	8	8	1
2024	2022	2022	0	15	5	14	38
2025	2024	2024	0	0	2	2	0
2022	2022	2021	0	3	6	6	0
2020	2019	2019	3	16	1	1	2
2023	2021	2020	7	17	2	124	0
2024	2023	2022	0	14	2	2	0
2025	2025	2024	2	0	1	1	0
2021	2021	2020	21	20	7	124	1
2017	2006	2006	0	6	8	8	0
2017	2013	2013	1	20	8	8	6
2023	2022	2021	0	9	1	1	0
2022	2020	2020	0	15	7	7	1
2021	2018	2017	2	7	1	1	5
2024	2022	2021	1	4	2	2	0
2022	2022	2021	0	0	4	4	0
2019	2019	2014	5	5	21	21	0
2020	2019	2014	1	32	21	21	8
2019	2018	2016	2	4	9	9	0
2024	2019	2018	0	2	8	8	1
2024	2020	2020	0	72	4	4	4
2022	2012	2011	0	2	11	11	1
2018	2016	2016	10	0	2	2	0
2019	2018	2016	2	0	9	9	0
2025	2023	2022	0	0	3	3	0
2025	2024	2023	0	0	5	5	0
2025	2025	2024	0	2	2	2	3
2024	2018	2016	0	4	9	9	1
2020	2020	2014	1	36	21	21	8
2024	2023	2022	0	0	3	3	0
2023	2015	2014	0	4	13	13	0
2020	2020	2014	0	9	21	21	0
2022	2021	2020	8	14	11	14	2
2019	2016	2016	2	1	2	2	9
2022	2022	2021	4	8	9	15	0
2017	2011	2010	0	18	4	9	1
2022	2021	2020	0	5	8	8	2
2019	2019	2018	12	3	2	2	0
2023	2022	2016	0	5	7	7	0
2025	2024	2023	0	2	5	5	0
2020	2020	2014	8	0	21	21	0
2022	2020	2020	1	72	4	4	0
2023	2021	2020	0	12	4	4	8
2025	2023	2022	0	0	2	2	0
2023	2021	2020	1	6	6	6	2
2018	2018	2014	2	6	21	21	0
2020	2020	2019	5	2	8	8	79
2023	2022	2019	2	9	6	6	3
2020	2015	2014	0	6	11	13	4
2022	2020	2019	1	2	3	3	8
2019	2018	2017	0	1	5	5	0
2025	2024	2023	0	0	1	1	0
2019	2018	2014	7	34	21	21	8
2017	2012	2011	10	16	11	11	2
2017	2012	2012	3	27	7	7	8
2022	2021	2020	2	2	6	6	5
2024	2023	2022	0	2	5	5	2
2019	2018	2017	4	0	5	5	0
2016	2011	2010	5	0	4	9	0
2017	2015	2015	2	16	2	5	0
2020	2019	2018	0	8	11	11	7
2024	2023	2022	0	2	5	5	0
2024	2023	2023	3	18	3	43	7
2021	2020	2020	3	10	2	2	0
2017	2015	2015	6	3	2	5	0
2024	2024	2023	0	16	7	43	3
2022	2020	2020	4	22	9	9	12
2025	2025	2024	0	5	5	5	1
2024	2023	2022	0	0	5	5	0
2017	2014	2014	0	22	2	15	10
2018	2018	2017	9	5	2	2	0
2019	2018	2017	1	5	2	2	20
2021	2019	2018	3	3	11	11	0
2020	2017	2016	8	9	4	4	49
2025	2025	2024	0	3	1	1	0
2017	2015	2014	0	16	13	13	9
2023	2022	2020	0	0	9	9	0
2017	2015	2014	5	6	13	13	0
2023	2022	2020	1	14	9	9	16
2016	2014	2012	13	2	5	5	0
2017	2013	2012	0	8	7	7	6
2022	2022	2019	3	0	6	6	0
2020	2019	2018	3	8	1	5	0
2016	2005	2004	0	6	19	19	1
2025	2024	2024	2	36	2	2	36
2023	2023	2020	0	0	9	9	0
2020	2015	2015	1	35	5	5	22
2023	2022	2021	0	6	8	8	7
2021	2020	2014	2	30	21	21	8
2024	2020	2019	9	171	1	1	19
2025	2024	2023	1	0	2	2	0
2023	2021	2021	2	5	8	8	7
2025	2025	2024	0	0	1	1	0
2024	2022	2016	0	12	7	7	1
2017	2017	2012	1	9	9	9	1
2025	2023	2022	1	0	1	31	0
2023	2020	2020	0	14	9	9	15
2019	2014	2013	3	35	6	6	0
2023	2018	2017	0	1	6	6	7
2025	2023	2020	0	18	9	9	12
2017	2017	2016	11	0	3	3	0
2017	2017	2016	0	2	3	3	0
2016	2012	2011	1	7	11	11	7
2016	2016	2013	47	6	2	12	0
2019	2016	2003	0	561	69	155	927
2025	2025	2024	0	0	5	5	0
2019	2017	2017	11	9	5	5	0
2016	2016	2014	7	4	13	13	0
2017	2016	2003	6	174	19	19	85
2022	2021	2020	3	11	1	1	0
2021	2020	2017	1	17	4	4	0
2019	2018	2017	19	4	5	5	0
2018	2016	2013	5	15	2	12	73
2024	2024	2023	0	4	1	1	1
2020	2018	2017	0	4	5	5	0
2016	2014	2014	31	8	2	15	0
2025	2018	2017	0	5	16	16	0
2024	2022	2021	3	19	3	3	21
2020	2020	2017	1	0	4	4	0
2019	2017	2016	2	8	8	8	1
2022	2020	2020	0	26	6	6	9
2020	2017	2017	0	9	5	5	0
2018	2018	2017	0	3	3	3	0
2022	2022	2022	0	11	2	2	3
2018	2018	2017	3	0	3	3	0
2025	2024	2023	0	0	1	1	0
2020	2019	2013	0	44	6	6	1
2022	2022	2021	1	7	4	4	0
2022	2020	2019	1	42	13	17	41
2017	2017	2016	6	0	8	8	0
2021	2020	2019	13	2	13	17	0
2024	2023	2019	0	4	8	8	1
2022	2021	2021	0	6	5	5	0
2019	2007	2006	0	7	19	19	4
2020	2017	2016	0	5	8	8	6
2023	2022	2021	1	3	7	7	0
2019	2019	2013	2	0	6	6	0
2020	2016	2016	6	40	6	6	7
2021	2019	2018	12	8	8	8	0
2024	2023	2023	0	2	2	2	2
2025	2023	2019	0	24	8	8	70
2016	2014	2013	0	34	2	2	5
2022	2021	2020	4	12	2	2	3
2023	2022	2021	1	11	4	4	6
2024	2021	2020	0	13	2	2	3
2023	2022	2021	1	3	6	27	1
2025	2019	2018	0	11	8	8	21
2020	2020	2012	1	0	66	66	0
2019	2019	2018	2	3	8	8	2
2016	2014	2014	0	16	7	7	6
2018	2012	2011	0	5	11	11	4
2024	2023	2020	1	125	5	124	28
2024	2018	2017	0	7	9	9	2
2019	2017	2016	0	12	2	2	0
2022	2021	2020	1	29	5	5	0
2025	2022	2022	2	17	3	3	10
2019	2018	2018	3	4	1	1	2
2021	2020	2020	12	25	8	8	7
2025	2025	2024	0	0	2	2	0
2019	2018	2017	0	5	3	3	1
2020	2018	2017	0	21	2	2	18
2020	2014	2014	0	0	7	7	6
2024	2020	2020	0	5	7	7	0
2018	2016	2009	11	142	14	14	87
2019	2013	2013	0	0	8	8	1
2021	2017	2016	3	29	7	7	164
2020	2018	2012	1	81	66	66	58
2023	2023	2022	15	0	25	35	0
2025	2018	2017	0	1	16	16	0
2024	2024	2021	2	2	9	15	0
2022	2021	2020	0	2	4	4	3
2017	2015	2015	9	3	1	1	0
2018	2018	2012	2	11	66	66	0
2020	2018	2017	1	12	3	3	30
2020	2017	2016	0	12	17	40	0
2025	2024	2023	0	51	1	1	0
2016	2015	2014	1	3	2	15	2
2020	2015	2014	0	8	12	12	0
2019	2017	2016	4	0	8	8	0
2017	2015	2014	2	16	12	12	1
2016	2015	2014	2	5	12	12	1
2022	2020	2020	5	8	7	7	0
2016	2015	2014	0	0	12	12	0
2022	2020	2020	1	5	7	7	0
2017	2017	2006	2	6	38	77	0
2019	2017	2017	7	20	3	3	0
2024	2022	2022	1	0	1	1	0
2018	2013	2012	23	35	3	3	39
2020	2019	2013	0	44	6	6	1
2021	2021	2021	2	6	2	2	3
2023	2021	2021	0	4	1	1	5
2019	2019	2013	3	0	6	6	0
2021	2021	2006	0	0	38	77	0
2021	2020	2006	0	5	38	77	0
2020	2020	2006	0	5	38	77	0
2022	2021	2006	0	9	38	77	0
2021	2020	2006	2	7	38	77	0
2021	2020	2006	0	0	38	77	0
2019	2018	2017	12	0	15	15	0
2018	2017	2016	0	2	15	15	0
2019	2018	2006	2	0	38	77	0
2020	2020	2006	0	0	38	77	0
2022	2021	2006	2	10	38	77	0
2021	2021	2006	0	8	38	77	0
2019	2018	2006	4	9	38	77	0
2018	2017	2006	3	6	38	77	0
2021	2021	2006	0	0	38	77	0
2022	2021	2006	0	0	38	77	0
2020	2020	2006	0	0	38	77	0
2025	2024	2023	1	0	1	1	0
2020	2019	2006	0	6	38	77	0
2023	2021	2006	1	8	38	77	0
2018	2017	2016	34	9	15	15	0
2019	2019	2006	0	6	38	77	0
2016	2015	2012	0	16	66	66	10
2024	2024	2023	0	5	3	43	0
2017	2013	2012	0	4	8	8	3
2016	2015	2012	1	0	66	66	0
2024	2024	2023	7	0	6	6	0
2025	2023	2022	0	2	2	31	0
2023	2020	2019	4	11	5	5	1
2024	2024	2023	2	20	1	43	3
2019	2017	2016	1	11	15	15	1
2022	2021	2020	2	31	8	8	11
2023	2022	2020	7	2	2	4	0
2018	2015	2014	1	2	6	6	0
2021	2019	2019	0	8	4	4	1
2021	2019	2019	3	1	4	4	0
2024	2024	2023	0	6	3	3	0
2017	2016	2014	4	60	6	6	9
2017	2014	2014	9	57	6	6	9
2022	2021	2020	0	7	6	6	1
2017	2016	2014	6	33	6	6	1
2025	2024	2023	0	9	2	6	0
2016	2014	2014	15	30	6	6	0
2020	2015	2014	2	5	13	13	0
2022	2022	2021	2	5	2	2	0
2024	2021	2020	2	52	6	6	130
2022	2021	2020	5	5	8	8	1
2023	2023	2019	1	0	1	6	0
2024	2021	2021	0	5	4	4	0
2020	2019	2019	8	0	2	4	0
2022	2020	2016	1	44	5	5	19
2016	2015	2014	35	1	3	3	0
2021	2019	2019	0	33	2	4	4
2021	2020	2019	11	5	3	3	0
2016	2015	2014	14	36	3	3	12
2021	2018	2017	2	5	16	16	0
2018	2018	2017	0	3	16	16	9
2024	2022	2021	0	0	5	5	0
2024	2023	2022	0	9	5	5	0
2024	2023	2022	1	7	5	5	0
2022	2020	2020	0	3	6	6	0
2017	2017	2016	98	0	9	9	0
2022	2020	2020	0	12	6	6	1
2024	2023	2012	0	47	21	21	17
2016	2016	2013	15	0	2	5	3
2018	2015	2014	4	2	6	6	3
2016	2016	2015	0	5	11	11	0
2017	2017	2016	0	9	4	24	1
2021	2020	2018	10	0	9	9	0
2017	2017	2016	5	4	5	20	2
2023	2021	2019	0	70	7	7	43
2017	2017	2016	16	11	4	24	0
2021	2020	2019	9	66	7	7	43
2017	2014	2013	0	1	6	6	8
2022	2021	2020	4	16	9	9	0
2024	2022	2021	1	185	5	5	16
2020	2016	2015	27	48	34	34	14
2024	2023	2019	0	1	3	6	0
2025	2024	2023	0	0	1	1	0
2021	2020	2019	6	4	5	5	0
2019	2017	2016	4	57	4	24	8
2023	2021	2021	0	1	3	3	7
2025	2022	2020	0	21	9	9	0
2016	2010	2009	11	56	9	18	4
2023	2022	2020	0	5	9	9	0
2019	2018	2017	1	3	9	9	1
2020	2017	2016	17	30	5	5	19
2021	2020	2019	0	7	5	5	0
2021	2021	2020	2	0	9	9	0
2024	2022	2017	0	9	9	9	0
2025	2025	2025	0	5	1	1	1
2019	2017	2017	7	0	9	9	0
2024	2022	2022	0	18	2	14	34
2019	2018	2018	11	5	1	1	3
2022	2022	2017	0	2	9	9	0
2024	2023	2022	0	0	1	1	0
2016	2013	2013	25	8	1	4	0
2019	2017	2017	36	9	2	2	0
2024	2023	2023	0	4	3	3	0
2024	2023	2023	1	10	2	2	0
2019	2017	2017	8	4	2	2	0
2022	2020	2018	7	1	9	9	7
2022	2022	2020	5	6	5	5	0
2024	2022	2020	2	34	5	5	7
2018	2011	2011	1	7	2	2	0
2020	2019	2017	0	3	8	8	0
2019	2017	2016	1	5	6	6	4
2025	2024	2024	0	3	1	1	0
2021	2020	2016	6	0	5	5	0
2022	2019	2018	5	14	2	2	23
2019	2017	2017	4	6	8	8	0
2023	2021	2020	3	61	9	9	6
2018	2017	2017	3	0	8	8	0
2023	2023	2020	4	6	2	2	1
2025	2025	2024	1	6	2	2	4
2020	2019	2017	2	3	8	8	0
2019	2019	2017	0	4	8	8	0
2020	2019	2017	0	4	8	8	0
2025	2022	2021	1	0	5	5	0
2020	2019	2018	2	0	4	4	0
2025	2023	2022	0	8	2	31	0
2024	2023	2022	0	4	3	14	8
2017	2015	2014	5	3	2	2	8
2018	2017	2014	4	0	6	6	0
2018	2013	2012	0	7	11	11	1
2019	2017	2014	1	5	6	6	0
2016	2015	2012	6	0	66	66	0
2022	2022	2021	6	1	4	4	0
2019	2017	2016	2	16	7	7	6
2018	2017	2017	1	4	2	2	2
2021	2020	2019	22	0	3	3	0
2024	2022	2022	0	17	2	14	34
2016	2015	2012	1	16	66	66	10
2018	2017	2017	9	4	2	2	0
2018	2012	2011	0	6	11	11	0
2019	2011	2010	1	56	2	9	39
2020	2013	2012	0	10	66	66	2
2019	2006	2005	0	5	11	11	0
2022	2019	2017	0	172	4	6	105
2018	2017	2016	6	8	5	20	28
2021	2021	2020	1	14	3	3	0
2024	2021	2021	0	8	4	4	0
2017	2017	2016	36	3	5	20	0
2021	2021	2020	26	0	3	3	0
2025	2021	2020	1	14	3	3	7
2021	2020	2019	41	3	2	3	1
2020	2016	2014	2	6	2	13	0
2023	2022	2022	0	4	4	26	3
2021	2020	2019	0	5	10	53	5
2024	2020	2020	0	15	4	4	25
2023	2020	2019	6	4	10	53	2
2024	2023	2022	0	1	1	1	3
2016	2016	2015	13	21	4	4	0
2019	2018	2017	8	5	7	7	1
2019	2019	2018	13	0	2	2	0
2024	2023	2023	0	0	3	3	0
2025	2020	2019	0	11	10	53	10
2018	2017	2016	189	4	29	29	1
2021	2020	2019	0	7	12	12	1
2023	2022	2015	0	89	34	34	57
2025	2025	2022	0	0	3	3	0
2024	2022	2022	2	0	3	3	0
2023	2021	2019	0	3	3	3	0
2021	2019	2018	2	11	4	4	0
2022	2021	2021	0	8	4	4	0
2020	2019	2016	1	0	4	24	0
2017	2014	2012	21	6	3	61	0
2023	2017	2016	0	8	11	14	1
2025	2024	2024	0	0	1	1	0
2022	2018	2017	0	5	4	4	28
2020	2019	2018	37	4	6	6	15
2023	2021	2021	1	6	4	4	13
2019	2019	2014	6	6	6	6	0
2019	2017	2017	0	13	9	9	8
2024	2023	2022	0	6	1	11	4
2022	2019	2015	6	77	34	34	42
2021	2021	2014	0	2	6	22	0
2022	2020	2019	4	12	9	9	0
2024	2020	2019	0	6	2	2	0
2019	2017	2016	0	7	2	2	6
2025	2025	2022	0	0	3	3	0
2021	2020	2020	22	7	7	7	0
2018	2017	2017	7	0	5	5	0
2023	2022	2022	0	3	2	14	0
2018	2017	2017	2	8	5	5	0
2016	2016	2015	6	0	5	5	0
2019	2016	2015	9	0	5	5	0
2020	2016	2015	1	26	5	5	3
2019	2016	2015	0	0	5	5	0
2017	2013	2012	12	70	66	66	52
2025	2022	2021	3	9	4	4	0
2025	2024	2024	0	0	1	1	0
2016	2014	2011	44	3	6	6	0
2018	2017	2017	8	18	9	9	0
2021	2019	2014	0	4	6	22	0
2016	2015	2015	28	7	1	1	3
2021	2019	2019	3	2	1	1	5
2017	2017	2016	13	3	3	3	0
2025	2025	2024	0	5	1	1	5
2025	2024	2022	0	1	2	31	0
2019	2016	2015	0	4	5	5	0
2021	2020	2020	30	16	5	124	0
2018	2017	2016	13	5	7	7	2
2023	2020	2019	1	1	3	6	0
2019	2008	2007	0	10	9	28	5
2025	2023	2022	0	1	2	31	0
2017	2017	2016	11	0	6	6	0
2021	2021	2020	1	7	7	7	0
2023	2021	2020	21	14	7	7	0
2020	2019	2014	0	8	6	6	0
2017	2014	2013	3	8	6	6	17
2018	2018	2017	3	5	2	2	0
2025	2019	2018	0	0	7	7	7
2018	2017	2016	0	28	6	6	7
2025	2023	2020	1	23	7	7	2
2025	2025	2020	0	0	7	7	0
2017	2016	2014	8	0	2	13	0
2018	2018	2017	1	0	2	2	0
2023	2023	2020	0	4	7	7	0
2022	2022	2016	0	7	6	96	0
2018	2017	2016	18	0	6	6	0
2025	2020	2019	0	14	9	9	18
2019	2019	2016	6	6	6	96	0
2021	2020	2016	0	0	6	96	0
2017	2013	2012	1	239	8	8	41
2017	2016	2016	70	5	1	1	18
2023	2020	2019	3	1	3	6	0
2019	2017	2016	5	12	7	7	0
2024	2022	2021	0	0	6	27	0
2023	2018	2017	0	4	7	7	4
2021	2020	2019	2	5	9	9	14
2021	2018	2017	10	4	7	7	1
2021	2021	2020	7	8	2	3	0
2025	2024	2024	3	12	6	12	158
2022	2017	2016	77	24	29	29	135
2018	2017	2016	1	7	17	40	1
2018	2017	2016	9	7	17	40	0
2023	2022	2022	0	3	2	14	0
2019	2014	2014	0	11	5	5	5
2016	2014	2014	0	0	3	3	0
2020	2017	2017	4	13	2	2	6
2021	2021	2018	22	0	6	6	0
2018	2017	2016	74	0	5	5	0
2018	2017	2016	2	5	5	5	1
2019	2017	2017	1	10	9	9	0
2020	2018	2017	10	122	20	22	19
2023	2021	2014	0	8	6	22	0
2019	2018	2016	11	3	7	7	0
2025	2025	2022	0	0	25	35	0
2021	2021	2020	3	5	2	3	0
2024	2023	2022	0	2	1	1	3
2020	2013	2012	0	6	21	21	12
2018	2018	2016	7	0	7	7	0
2020	2018	2017	0	5	7	7	1
2023	2023	2023	2	7	1	1	1
2023	2023	2022	3	4	2	2	0
2025	2024	2024	0	0	1	1	0
2025	2023	2022	0	0	2	2	0
2023	2022	2018	0	8	3	3	2
2019	2017	2016	12	9	7	7	0
2025	2021	2020	2	7	1	1	1
2017	2013	2012	5	7	2	2	5
2017	2017	2016	36	2	7	7	0
2019	2019	2018	2	0	3	3	0
2022	2019	2018	1	4	3	3	0
2022	2018	2017	9	12	9	9	12
2024	2020	2020	7	21	4	4	7
2025	2025	2024	0	0	5	5	0
2021	2020	2016	0	48	6	6	8
2017	2012	2012	2	27	9	9	1
2025	2023	2022	0	0	6	26	4
2025	2025	2024	5	0	1	12	0
2025	2024	2024	0	8	2	2	3
2016	2013	2012	4	11	14	14	23
2025	2021	2020	0	5	6	6	9
2016	2013	2012	7	46	11	11	6
2024	2022	2019	3	6	1	3	46
2025	2022	2019	0	15	10	10	5
2017	2014	2009	1	8	3	3	0
2022	2021	2018	3	23	6	6	22
2023	2021	2020	8	1	6	6	0
2020	2020	2019	15	0	3	3	0
2024	2024	2023	0	5	2	2	3
2021	2020	2019	0	7	6	6	3
2018	2017	2016	6	3	7	7	4
2024	2017	2016	0	8	6	6	1
2017	2014	2013	0	3	8	8	0
2024	2017	2016	0	1	15	15	0
2025	2019	2019	0	21	5	5	3
2016	2014	2013	9	6	8	8	0
2023	2021	2020	0	10	4	4	1
2023	2019	2018	0	8	6	6	4
2019	2012	2011	2	10	11	11	2
2021	2019	2018	4	6	5	5	11
2021	2020	2017	1	18	15	15	4
2024	2023	2022	1	0	11	11	0
2017	2015	2006	1	77	9	9	63
2022	2020	2019	0	3	14	14	3
2020	2020	2017	2	0	15	15	0
2022	2020	2019	0	0	14	14	0
2019	2018	2017	14	2	20	22	0
2025	2024	2024	0	0	1	1	0
2024	2019	2009	0	76	13	13	6
2020	2019	2016	11	6	6	96	0
2016	2014	2014	21	0	1	1	2
2023	2023	2022	0	5	6	26	4
2025	2021	2020	0	0	6	6	1
2019	2009	2009	2	51	13	13	4
2022	2021	2020	15	5	6	6	5
2018	2017	2016	5	7	9	9	0
2021	2020	2019	14	2	3	3	0
2017	2017	2016	52	1	9	9	0
2019	2013	2012	0	2	14	14	3
2023	2022	2016	2	62	6	96	5
2022	2020	2019	5	3	12	12	1
2021	2019	2018	15	165	10	10	9
2023	2020	2012	0	51	21	21	20
2024	2021	2018	1	12	5	5	12
2024	2024	2018	0	2	5	5	1
2019	2018	2017	10	19	2	6	4
2025	2025	2023	0	0	3	3	0
2024	2022	2017	0	5	6	6	1
2018	2018	2017	22	0	2	6	0
2017	2014	2014	0	19	2	15	10
2019	2019	2018	5	25	1	1	14
2023	2022	2021	2	13	4	4	0
2025	2024	2024	0	2	6	12	0
2018	2017	2014	5	18	5	5	3
2025	2024	2022	0	7	2	31	0
2021	2021	2018	0	6	5	5	1
2016	2015	2011	13	3	6	6	0
2020	2020	2018	6	11	7	7	0
2022	2013	2012	0	10	66	66	0
2024	2020	2018	1	21	7	7	3
2022	2022	2021	0	0	5	5	0
2016	2015	2011	6	3	6	6	0
2021	2018	2017	0	10	4	4	5
2017	2017	2016	9	36	3	3	0
2018	2018	2017	5	1	6	6	7
2018	2017	2016	6	8	11	14	1
2016	2013	2003	5	102	19	19	83
2022	2020	2019	0	13	12	12	5
2017	2014	2013	0	9	2	2	6
2020	2017	2016	3	66	7	24	11
2019	2018	2017	4	0	4	4	0
2020	2018	2017	13	5	4	4	0
2022	2020	2019	21	0	42	42	0
2021	2020	2016	0	0	7	24	0
2025	2024	2024	1	0	1	1	0
2024	2023	2023	0	0	3	3	0
2016	2014	2014	0	0	7	7	6
2017	2017	2016	0	10	7	24	1
2017	2017	2016	17	5	7	24	0
2021	2013	2012	0	9	66	66	1
2021	2020	2012	1	85	66	66	83
2022	2022	2021	0	4	6	6	0
2022	2020	2020	3	11	27	27	11
2022	2021	2019	0	0	4	4	0
2020	2020	2019	11	0	4	4	0
2022	2020	2019	1	13	4	4	1
2018	2017	2012	3	63	66	66	50
2017	2017	2012	4	1	66	66	0
2023	2021	2020	13	10	6	6	4
2025	2024	2022	12	201	2	14	119
2023	2021	2020	2	1	10	18	0
2021	2021	2020	11	5	6	6	1
2023	2021	2019	0	13	4	4	1
2018	2015	2012	2	40	4	4	29
2021	2019	2019	10	5	4	4	2
2019	2019	2018	13	5	5	5	0
2020	2019	2018	0	0	9	9	0
2020	2019	2018	0	4	9	9	169
2017	2017	2016	70	1	9	9	0
2024	2023	2020	5	0	1	3	0
2017	2014	2014	1	19	2	15	10
2023	2021	2020	1	8	2	2	103
2017	2014	2014	0	18	2	15	10
2024	2023	2022	0	38	11	11	84
2022	2019	2019	0	14	6	6	5
2025	2024	2022	0	40	11	11	90
2017	2014	2014	0	22	2	15	10
2017	2014	2014	2	22	2	15	11
2018	2017	2011	5	50	11	11	17
2020	2020	2019	41	0	6	6	0
2025	2024	2022	0	0	11	11	0
2019	2018	2017	0	2	2	5	0
2020	2020	2019	3	5	6	6	0
2022	2021	2020	5	1	11	14	1
2020	2018	2017	0	2	2	5	0
2022	2019	2014	1	6	6	6	7
2018	2017	2012	0	42	9	9	1
2023	2019	2019	0	35	1	1	35
2024	2021	2021	0	5	3	7	8
2017	2016	2016	0	2	1	1	5
2025	2023	2016	0	15	4	4	1
2022	2022	2019	12	2	2	5	2
2019	2019	2014	0	0	6	6	0
2016	2015	2014	1	0	6	6	0
2022	2022	2021	17	11	5	5	0
2016	2014	2014	4	4	2	15	0
2020	2019	2018	10	1	9	9	7
2020	2019	2018	65	0	9	9	0
2020	2015	2014	0	11	28	51	2
2021	2020	2019	6	5	13	17	1
2018	2017	2016	8	30	1	1	5
2019	2018	2011	2	50	11	11	17
2025	2023	2021	0	19	2	14	1
2024	2017	2016	2	26	10	10	6
2016	2012	2012	8	8	2	2	0
2023	2022	2021	3	12	1	5	5
2023	2019	2018	1	294	3	3	26
2023	2017	2016	0	1	8	24	0
2025	2024	2024	0	3	4	12	0
2023	2022	2021	1	6	5	5	1
2024	2023	2021	2	0	2	14	0
2024	2022	2021	0	0	9	9	0
2017	2015	2014	8	3	2	2	12
2016	2015	2014	5	24	1	13	3
2022	2017	2016	0	13	23	23	20
2019	2017	2016	3	1	9	9	0
2020	2018	2018	11	21	2	2	34
2024	2024	2023	0	0	7	43	0
2025	2022	2019	0	11	2	5	4
2023	2022	2020	10	11	3	124	0
2019	2018	2016	4	8	15	15	0
2024	2021	2016	0	38	15	15	0
2021	2018	2016	0	38	15	15	0
2024	2023	2022	0	5	2	2	21
2016	2015	2010	2	70	4	21	64
2021	2021	2020	3	0	8	8	0
2025	2024	2023	0	9	7	7	44
2020	2017	2014	1	29	10	10	8
2021	2021	2016	0	5	15	15	0
2021	2013	2012	41	45	21	21	14
2022	2022	2021	4	4	10	11	0
2022	2022	2021	6	13	4	4	0
2025	2022	2022	0	1	6	6	0
2024	2021	2019	3	6	4	4	2
2018	2017	2017	2	5	5	5	0
2019	2019	2018	1	6	3	3	1
2016	2014	2014	3	0	2	15	0
2016	2014	2014	3	0	2	15	0
2016	2014	2014	11	0	2	15	0
2023	2021	2016	0	53	6	6	11
2025	2023	2022	0	2	2	31	1
2024	2023	2022	0	1	9	9	1
2020	2018	2018	0	69	2	2	7
2016	2014	2014	1	3	2	15	0
2022	2021	2021	2	6	6	6	0
2024	2022	2022	0	14	2	14	35
2024	2020	2019	0	8	6	6	0
2025	2021	2020	0	2	8	8	0
2021	2021	2020	2	3	8	8	0
2025	2019	2018	0	8	8	8	1
2024	2021	2021	0	11	6	6	7
2023	2021	2021	1	17	2	2	18
2023	2022	2021	20	0	10	11	0
2021	2013	2012	0	8	66	66	4
2023	2022	2022	0	4	4	26	4
2017	2016	2003	34	453	63	155	917
2023	2022	2021	0	17	2	2	0
2016	2012	2007	3	100	4	28	45
